,source,speedup,prediction
0,SR,1.2234632258824687,7.667119606496356
0,SR,1.3957268036733679,7.387739878011437
0,SR,1.9243875497558631,6.304134724863261
0,SR,2.4650267786866573,5.394141173310389
0,SR,3.364265243711784,3.719536890353414
0,SR,5.161227876707805,2.966792531094938
0,SR,6.311091967596634,2.6851065094115953
0,SR,8.73824678306567,1.5229696369432943
0,SR,11.984517484704238,0.866927386907326
0,SR,15.441441195362989,0.6026253983184396
0,c=3,35.81772917786754,0.3405936147983199
1,c=3,29.43951600019409,0.4629402067660229
2,c=3,21.437626297499623,0.6425616550013509
3,c=3,16.153469539631573,0.6086623105585549
4,c=3,11.88412736939065,0.6356297265991981
5,c=3,8.17901040541561,1.5585389350081202
6,c=3,6.035552984304874,1.72408881790764
7,c=3,4.464357964891551,2.452953619449521
8,c=3,3.0108440245068406,3.79337949103473
9,c=3,2.1146747300568522,5.064649572316347
10,c=3,1.6326157859990609,6.63727080474562
11,c=3,1.2923342886305687,8.067951631619701
12,c=3,1.20419421932493,7.339947303492172
0,c=5,19.666410748702535,0.3648771051363887
1,c=5,16.97674200623861,0.34923380653165814
2,c=5,13.571991204188373,0.5162482474802729
3,c=5,10.738890258310018,1.0256347860947568
4,c=5,8.019690856434705,1.2596782787206031
5,c=5,5.330841145345174,2.2540448324942233
6,c=5,3.995523023574311,3.517801719594918
7,c=5,2.8635987504330283,4.6839472670047515
8,c=5,1.987974048535574,5.93406657247898
9,c=5,1.5507161827420235,6.69670175302517
10,c=5,1.2955660393760517,8.572379133987145
11,c=5,1.1392277359297474,7.618068751458014
12,c=5,1.090641088724102,7.474149783468154
